epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,732.596,1.22102,0.85146,1.47269,0.92699,0.95389,0.95823,0.64282,0.57676,0.40266,0.77346,0.00820525,0.00820525,0.00820525
44,749.894,1.21549,0.86821,1.46372,0.82998,0.94029,0.94364,0.64544,0.54613,0.75636,0.78751,0.00812468,0.00812468,0.00812468
45,767.194,1.20914,0.85897,1.42688,0.92957,0.97258,0.97753,0.65989,0.57165,0.71789,0.79221,0.00804277,0.00804277,0.00804277
46,784.522,1.16509,0.83153,1.43856,0.81393,0.96131,0.94101,0.60159,0.58775,0.8318,0.81304,0.00795954,0.00795954,0.00795954
47,801.694,1.17159,0.87055,1.42364,0.89715,0.96853,0.96041,0.63857,0.55271,0.40753,0.76199,0.00787503,0.00787503,0.00787503
48,818.842,1.17536,0.8368,1.40368,0.82953,0.95184,0.94342,0.64493,0.53678,0.38208,0.75643,0.00778929,0.00778929,0.00778929
49,835.939,1.19081,0.88116,1.42706,0.88387,0.9722,0.95845,0.61204,0.53868,0.36615,0.75415,0.00770234,0.00770234,0.00770234
50,853.162,1.17524,0.85356,1.4149,0.91271,0.98214,0.96504,0.64813,0.55869,0.75631,0.77895,0.00761423,0.00761423,0.00761423
51,870.23,1.15923,0.82771,1.4472,0.92845,0.97775,0.97843,0.66225,0.5695,0.68531,0.75374,0.007525,0.007525,0.007525
52,887.552,1.18868,0.85118,1.46199,0.88737,0.97011,0.95107,0.62208,0.56075,0.36092,0.76663,0.00743468,0.00743468,0.00743468
53,904.731,1.22196,0.81339,1.52299,0.85913,0.9516,0.94865,0.64326,0.54809,0.34316,0.75348,0.00734332,0.00734332,0.00734332
54,921.817,1.15862,0.78685,1.41294,0.94689,0.9695,0.96482,0.70095,0.49884,0.29889,0.71302,0.00725094,0.00725094,0.00725094
55,939.158,1.16204,0.81697,1.42466,0.9022,0.95379,0.95628,0.6605,0.52804,0.76246,0.74363,0.00715761,0.00715761,0.00715761
56,956.424,1.11841,0.8137,1.40776,0.91691,0.95686,0.96143,0.62907,0.57156,0.38343,0.76463,0.00706335,0.00706335,0.00706335
57,973.56,1.15158,0.81334,1.40116,0.90513,0.94048,0.96467,0.65684,0.55421,0.67702,0.76322,0.0069682,0.0069682,0.0069682
58,990.753,1.09772,0.78642,1.39669,0.89462,0.96422,0.97413,0.68018,0.52207,0.36251,0.74086,0.00687222,0.00687222,0.00687222
59,1007.9,1.10753,0.74112,1.37287,0.93566,0.98214,0.96482,0.69251,0.50728,0.33525,0.73475,0.00677543,0.00677543,0.00677543
60,1025.01,1.09861,0.74951,1.33958,0.92187,0.98214,0.96482,0.67249,0.52824,0.73051,0.74181,0.00667789,0.00667789,0.00667789
61,1042.16,1.08331,0.78346,1.37428,0.88999,0.97282,0.96482,0.67172,0.51912,0.3169,0.7206,0.00657963,0.00657963,0.00657963
62,1059.28,1.15379,0.82918,1.44639,0.93555,0.98214,0.96482,0.68985,0.50004,0.33422,0.70639,0.00648071,0.00648071,0.00648071
63,1076.34,1.07797,0.79549,1.37192,0.93843,0.92374,0.95878,0.63525,0.56703,0.31996,0.76077,0.00638115,0.00638115,0.00638115
64,1093.36,1.09337,0.74674,1.34333,0.95842,0.97031,0.96732,0.6899,0.48821,0.44073,0.71028,0.00628101,0.00628101,0.00628101
65,1110.49,1.07285,0.72022,1.35061,0.94073,0.98214,0.96732,0.71632,0.48947,0.29716,0.71101,0.00618034,0.00618034,0.00618034
66,1127.83,1.02911,0.70186,1.30736,0.92449,0.99641,0.995,0.69219,0.49753,0.39525,0.69778,0.00607916,0.00607916,0.00607916
67,1144.9,1.04551,0.69592,1.32974,0.92564,0.97995,0.96149,0.67958,0.52821,0.33866,0.72677,0.00597754,0.00597754,0.00597754
68,1162.09,1.08772,0.73086,1.37685,0.91558,0.97089,0.98172,0.6227,0.59157,0.34389,0.77826,0.00587551,0.00587551,0.00587551
69,1179.28,1.06667,0.7309,1.34411,0.93196,1,0.98172,0.6691,0.52042,0.30683,0.7334,0.00577311,0.00577311,0.00577311
70,1196.47,1.09212,0.73623,1.34672,0.95605,0.98214,0.96482,0.6609,0.48236,0.30522,0.68899,0.0056704,0.0056704,0.0056704
71,1213.61,1.08373,0.71922,1.37631,0.8846,0.97311,0.96732,0.67339,0.5132,0.2968,0.72557,0.00556742,0.00556742,0.00556742
72,1230.86,1.08629,0.7333,1.37365,0.93293,0.97615,0.96732,0.65577,0.57332,0.31856,0.76833,0.00546421,0.00546421,0.00546421
